mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
CSS,Which of the following property is a shorthand definition of the number of columns and their widths in a multicolumn,Multiple Choice Question,"1, 2, 3, 4",column-width,column-style,columns,filter,-,C,,LEVEL 2
React-placement,How can you prevent re-rendering a total component if it hasn't changed?,Multiple Choice Question,"1, 2, 3, 4","Using getSnapshotBeforeUpdate() to verify component is
changed or not","Using shouldComponentUpdate method to verify
component is changed or not
For example
shouldComponentUpdate(nextProps, nextState){
return !equals(nextProps, this.props); //
equals() need implement to define component
has got any update or not
}",Using React's PureComponent,All of above,,D,,LEVEL 2
Javascript,"Which of following shows a poorer runtime performance for coalescing functionality, using functions, and using<br>objects?",Multiple Choice Question,"1, 2, 3, 4",Firefox unwoundfun,Firefox UsingFunct,Firefox UsingObject,None of the mentioned,,A,,LEVEL 2
CSS,Which of the following paragraphs are blue?<br>app.css:<br>li:nth-child(2) {<br>color:blue;<br>}<br>index.html:<br>&lt;ul&gt;<br>&lt;li&gt;1st&lt;/li&gt;<br>&lt;li&gt;2nd&lt;/li&gt;<br>&lt;li&gt;3rd&lt;/li&gt;<br>&lt;/ul&gt;,Multiple Choice Question,"1, 2, 3, 4",1st,2nd,3rd,-,-,B,,LEVEL 2
Javascript,How can one access the redirectCount property ?,Multiple Choice Question,"1, 2, 3, 4",redirectCount,performance.redirectCount,navigation.redirectCount,performance.navigation.redirectCount,,D,,LEVEL 1
Sanskrit-lecture-1-quiz-1,"Select appropriate option in place of ""?"" in the below Picture",Multiple Choice Question,"1, 2, 3, 4",मम,भवत:,भवत्या:,,,A,-,LEVEL 1
ValueVsReference and Scopes,"In HTML, the global scope is the ____________ object",Multiple Choice Question,"1, 2, 3, 4",HTML,DOM,window,Parser,,C,-,LEVEL 1
DSA HashMap,What is direct addressing?,Multiple Choice Question,"1, 2, 3, 4",Distinct array position for every possible key,Fewer array positions than keys,Fewer keys than array positions,Same array position for all keys,,A,-,LEVEL 1
Js-easy-5jul,The provides() function and the exportsobject are used to _________,Multiple Choice Question,"1, 2, 3, 4",Call the modules api,Store the module’s API,Register the modules api,Register the module’s API and Store their API,,D,-,LEVEL 1
Javascript,What is the function used to extract arguments from the search property of a URL ?,Multiple Choice Question,"1, 2, 3, 4",url(),hash(),urlArgs(),None of the Above,,C,,LEVEL 2
CSS,What is the CSS Property Equivalent for the align attribute?,Multiple Choice Question,"1, 2, 3, 4",float,text-align,centre,both (A) and (B),-,A,,LEVEL 2
HTML,Which amongst the following tags is used to specify important texts in HTML?,Multiple Choice Question,"1, 2, 3, 4",&lt;b&gt;,&lt;important&gt;,&lt;imptext&gt;,&lt;strong&gt;,-,D,,LEVEL 2
"NPM - 2nd June, 2020",You can create a react app with only npm as your package manager?,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,,,,B,-,LEVEL 1
LR - Number Series,"<p>50, 24, 11, 4(1/2), ?</p>",Multiple Choice Question,"1, 2, 3, 4",1(1/4),4,3(1/2),3,,A,,LEVEL 2
HTML,What can't layers do if you want to convert them to tables?,Multiple Choice Question,"1, 2, 3, 4",Be close,Contain a Color,Be larger than the target table,Overlap,-,B,-,LEVEL 2
JS Closure,"""What is the output?
const fn = (x) =>{
        const fn2 = (y) => x*y
        return fn2
}
console.log(fn(2)(3))""",Multiple Choice Question,"1, 2, 3, 4",Error Invalid function,undefined,2*3,6,,D,-,LEVEL 1
Positioning and responsive webpages - DAY 4,Which of these centre aligns text in an element?,Multiple Choice Question,"1, 2, 3, 4",text-align: middle,text-align: center,align: center,None Of The Above,,B,-,LEVEL 1
Javascript,Which of the algorithmic languages is lexical scoping standardized in?,Multiple Choice Question,"1, 2, 3, 4",Ada,Pascal,Modula2,All of the mentioned,,D,,LEVEL 2
DOM Manipulation,How do you focus a particular part of the HTML page in JavaScript?,Multiple Choice Question,"1, 2, 3, 4",hover(),focus(),on(),All of the mentioned,,B,-,LEVEL 2
Total js,You use the Math.pow() method to:,Multiple Choice Question,"1, 2, 3, 4",Return any number,Return a number raised to the power of a second number,Return a random value between 0 and 1,Return a variable value,,B,-,LEVEL 1
ValueVsReference and Scopes,"var carName = ""Volvo"";



function myFunction() {

console.log(carName);

}",Multiple Choice Question,"1, 2, 3, 4",Volvo,Undefined,Error,None of the above,,A,-,LEVEL 1
HTML,WSFTP is an example of ........................... program.,Multiple Choice Question,"1, 2, 3, 4",FTP,Telnet,Web browser,Mail,-,B,-,LEVEL 2
HTML,Rendering engine is not responsible for,Multiple Choice Question,"1, 2, 3, 4",parsing the markup content (HTML),"parsing style information (CSS, XSL, and so on)",generating a visual presentation of the formatted content including media files referenced,none of the mentioned,-,D,-,LEVEL 2
Aptitude - Profit and Loss,"On selling an article for Rs. 240, a trader loses 4%. In order to gain 10%, he must sell the article for",Multiple Choice Question,"1, 2, 3, 4",Rs. 275,Rs. 285,Rs. 280,Rs. 300,,A,,LEVEL 1
React,"In JSX, a function is passed as,",Multiple Choice Question,"1, 2, 3, 4",function,event handler,string,function or string,-,B,,LEVEL 2
CSS,ID selector name is preceded by __________.,Multiple Choice Question,"1, 2, 3, 4",‘@’,‘#’,‘%’,‘.’,None of these,B,,LEVEL 3
Total js,Which of the following is the syntax for an object literal (with no properties)?,Multiple Choice Question,"1, 2, 3, 4",nil;,[];,();,{};,object;,D,-,LEVEL 1
LR - Number Series,"<p>5, 17, 37, 65, ?, 145</p>",Multiple Choice Question,"1, 2, 3, 4",95,97,99,101,,D,,LEVEL 1
CSS,The first CSS specification to become an official W3C Recommendation is ___________,Multiple Choice Question,"1, 2, 3, 4",(X)HTML CSS,CSS level 2,CSS level 2.1,CSS level 1,-,D,-,LEVEL 1
ANSR Section A - Aptitude Slot 1,252 :: 729 :::: 123 :: ?,Multiple Choice Question,"1, 2, 3, 4",216,241,576,343,,A,-,LEVEL 1
HTML,The tag which allows some Web server search engines to search your Web page.,Multiple Choice Question,"1, 2, 3, 4",SEARCH&gt;,&lt;ISINDEX&gt;,&lt;HEAD&gt;,&lt;LINK&gt;,-,B,,LEVEL 1
LR - Number Series,"<p>4, 8, 24, 96, ?</p>",Multiple Choice Question,"1, 2, 3, 4",97,98,99,480,,D,-,LEVEL 1
ES6,What shows in the console?<br>class Task {<br>static get() {<br>return 10;<br>}<br>};<br>var task = new Task();<br>console.log(task.get());,Multiple Choice Question,"1, 2, 3, 4",10,null,undefined,throw an error,-,D,,LEVEL 2
Sanskrit-lecture-4-quiz-1,"Fill in the blanks with appropriate options 
एषा मापिका | -----मापिकाः |   eṣā māpikā | ----- māpikāḥ",Multiple Choice Question,"1, 2, 3, 4",एतानि   etāni,एते   ete,एताः    etāḥ,,,C,-,LEVEL 1
CSS,Which specifies the speed curve of animation?,Multiple Choice Question,"1, 2, 3, 4",animation-timing-function,animation-play-state,animation-name,animation-iteration-count,None of these,A,,LEVEL 3
JS Basics,"A collection of elements of the same data type which may either in order or not, is called _____.",Multiple Choice Question,"1, 2, 3, 4",String,Array,Serialized Object,Object,,B,-,LEVEL 1
Java - Loops,"What will be the output of the following program?

class PrintFormat
{
    public static void main(String[] args)
    {
        for (int i = 0; i < 5; i++)
        {
            for (int j = 5; j >= i; j--)
            {
                System.out.print(j);
            }
            System.out.println();
        }
    }
}",Multiple Choice Question,"1, 2, 3, 4","01234
01234
01234
01234
01234","543210
54321
5432
543
54","54321
5432
543
54
5",Compilation error,,B,-,LEVEL 1
HTML,. Will you answer my questions if I send them to you?,Multiple Choice Question,"1, 2, 3, 4",There are some pages in MCQ Sets that offers you the form,If you send me questions using the forms in MCQ Sets,Get the most authentic answers for your subjective questions,,-,C,-,LEVEL 1
React-placement,Select the appropriate location for inclusion of a React common header component,Multiple Choice Question,"1, 2, 3, 4",In the App index.html,In the gulpfile.js,Only once in the App's index.js,Inside every component separately,,B,,LEVEL 1
Mongo DB,Which of the following is used for creating a binary export of the contents of a Mongo database?,Multiple Choice Question,"1, 2, 3, 4",mongofiles,mongosupport,mongodump,All of the mentioned,,C,-,LEVEL 1
Javascript,. How can you dispatch a synthetic event object?,Multiple Choice Question,"1, 2, 3, 4",dispatchEvent(),dispatch(),dispatch(Event),None of the mentioned,,A,,LEVEL 2
Javascript,Which of the following function of a Boolean object returns the primitive value of the Boolean object?,Multiple Choice Question,"1, 2, 3, 4",toString(),toSource(),valueOf(),None of These,,C,,LEVEL 2
Assessment Quiz,AJAX Stands for____________?,Multiple Choice Question,"1, 2, 3, 4",Asynchronous Javascript and XML,Abstract JSON and XML,Another Java Abstraction for X-Windows,Another Java and XML Library,,A,-,LEVEL 1
17jul-march-htmlcss,Which element specifies a list of pre-defined options for an input element?,Multiple Choice Question,"1, 2, 3, 4",&amp;lt;datalist&amp;gt;,&amp;lt;password&amp;gt;,&amp;lt;output&amp;gt;,&amp;lt;keygen&amp;gt;,,A,-,LEVEL 2
CSS,………….. makes all the required fields with gray color and * symbol indicator.,Multiple Choice Question,"1, 2, 3, 4",:required :add {content: “(*)”; color:gray;},:required :after {content: “(*)”; color:gray;},:required :after {add-content: “(*)”; color:gray;},:after :required {content: “(*)”; color:gray;},-,B,,LEVEL 2
Node,Which of the following is true about Node.JS?,Multiple Choice Question,"1, 2, 3, 4",Node.js is a JavaScript based framework/platform built on Google Chrome's JavaScript V8 Engine.,"Node.JS is used to delevop I/O intensive web applications like video streaming sites, single page applications and other web application.",Node.js is open source and is completely free to use.,All of the above.,,D,-,LEVEL 1
Network Topology,Tokens are involved in _______ topology.,Multiple Choice Question,"1, 3, 4",Star,hybrid,Bus,Ring,,D,-,LEVEL 1
Sanskrit Lecture Quiz 15,पूर्वं गुरुकुलानि ______ ।,Multiple Choice Question,"1, 2, 3, 4",आसन्,अासम्,सन्ति,आस्म,,A,-,LEVEL 1
Js-ass-2jul,The expression of calling (or executing) a function or method in JavaScript is called ________,Multiple Choice Question,"1, 2, 3, 4",Primary expression,Functional expression,Invocation expression,Property Access Expression,,C,-,LEVEL 2
React,React is mainly for building ...........,Multiple Choice Question,"1, 2, 3, 4",Database,Connectivity,Design platform,User interface,,D,,LEVEL 1
JS DOM,"The ……… attribute is only valid on a handful or HTML elements, including forms, form elements, <iframe> and <img> elements.",Multiple Choice Question,"1, 2, 3, 4",id,name,tag,class,,B,-,LEVEL 1
Javascript,Which of these will throw a SyntaxError?,Multiple Choice Question,"1, 2, 3, 4",if (x == 1) { },if (x = 1) { },if (x ==== 1) { },if (x === 1) { },,C,,LEVEL 2
Javascript,Which function does the reverse of split()?,Multiple Choice Question,"1, 2, 3, 4",append(),unite(),join(),concat(),,C,-,LEVEL 1
Pototype and Inheritance,"What will be the output of the following JavaScript code?

const obj1 = 
{  
  	a: 10,  
  	b: 15,  
  	c: 18  
};  
const obj2 = Object.assign({c: 7, d: 1}, obj1);  
console.log(obj2.c, obj2.d);",Multiple Choice Question,"1, 2, 3, 4","7,1","18,1",Undefined,Error,,A,-,LEVEL 1
CSS,The ……………………… property indicates whether a cell without any content should have a border displayed.,Multiple Choice Question,"1, 2, 3, 4",empty-row,empty-column,empty-cell,empty,-,C,,LEVEL 2
React,const input = response.userInput;<br>const element = &lt;h1&gt;{input}&lt;/h1&gt;;<br>Why React DOM escapes any values embedded in JSX before rendering them?,Multiple Choice Question,"1, 2, 3, 4",you can only store strings in local state,it prevents injection attacks,Babel compiles JSX down to React.createElement() calls,React reads these objects and uses them to construct the DOM and keep it up to date,-,B,,LEVEL 3
HTML,Choose the correct HTML element for the largest heading:,Multiple Choice Question,"1, 2, 3, 4",&lt;h1&gt;,&lt;heading&gt;,&lt;head&gt;,&lt;h6&gt;,-,A,-,LEVEL 1
Aptitude - Number Series Pattern Recognition,In a coded language 256 means ‘Boys are good’; 637 means ‘Amar is good’ and 348 means `Sneh is bad’. Which digit means ‘Amar’ in that code?,Multiple Choice Question,"1, 2, 3, 4",2,6,7,8,,C,-,LEVEL 1
Javascript,To which object does the location property belong?,Multiple Choice Question,"1, 2, 3, 4",Window,Position,Element,Location,,A,,LEVEL 2
October Entrance Section C - Slot 1,"GCD or HCF of two numbers is the largest number that divides both of them. A simple way to find GCD is to factorize both numbers and multiply common factors. Now to calculating it faster, we can use the facts:-
If we subtract the smaller number from the larger (we reduce the larger number), GCD doesn’t change. So if we keep subtracting repeatedly the larger of two, we end up with GCD.
Now instead of subtraction, if we divide smaller number, the algorithm stops when we find remainder 0.
By using these facts it will become easy to find the GCD of two numbers. 
Extending the approach can also be used to find the solutions of the equation for x and y:-
a⋅x+b⋅y=gcd of (a, b)

 What will be the minimum number of steps required to measure 42L using buckets of capacity 12L and 78L.",Multiple Choice Question,"1, 2, 3, 4",6,7,8,9,,A,-,LEVEL 1
Logical,"Find the next number in the sequence:
   104, 109, 115, 122, 130.....",Multiple Choice Question,"1, 2, 3, 4",119,125,139,134,,C,-,LEVEL 1
Aptitude - Number Series Pattern Recognition,7^12 – 4^12  is exactly divisible by which of the following number?,Multiple Choice Question,"1, 2, 3, 4",34,33,36,35,,B,-,LEVEL 3
Python - Error Handling,"Is the following Python code valid?
<code>
try:
    # Do something
except:
    # Do something
finally:
    # Do something
</code>",Multiple Choice Question,"1, 2, 3, 4",Yes,"no, there is no such thing as finally","no, finally cannot be used with except","no, finally must come before except",,A,-,LEVEL 1
